,Product Name,Price,Rating (out of 5),URL
0,MSI Gaming Radeon RX 5500 XT Boost Clock: 1845 MHz 128-bit 8GB GDDR6 DP/HDMI Dual Torx 3.0 Fans Crossfire Freesync VR Ready Graphics Card (RX 5500 XT Gaming X 8G),219.99,4.5,https://www.amazon.com/MSI-Gaming-RX-5500-XT/dp/B082G34GSL/ref=sr_1_1?dchild=1&keywords=gpu&qid=1604875671&sr=8-1
1,"XFX Radeon RX 580 GTS XXX Edition 1386MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card (RX-580P8DFD6)",212.81,4.5,https://www.amazon.com/XFX-Radeon-1386MHz-Graphics-RX-580P8DFD6/dp/B06Y66K3XD/ref=sr_1_2?dchild=1&keywords=gpu&qid=1604875671&sr=8-2
2,XFX RX 5600 XT THICC III PRO - 14GBPS 6GB GDDR6 BOOST UP TO 1750MHz 3xDP HDMI Graphics Card RX-56XT6TF48,321.14,4.5,https://www.amazon.com/XFX-5600-THICC-III-PRO/dp/B086PZGTHZ/ref=sr_1_3?dchild=1&keywords=gpu&qid=1604875671&sr=8-3
3,Gigabyte GV-N1030OC-2GI Nvidia GeForce GT 1030 OC 2G Graphics Card,88.99,4.5,https://www.amazon.com/Gigabyte-GV-N1030OC-2GI-Nvidia-GeForce-Graphics/dp/B07646VQ6T/ref=sxin_9_ac_d_rm?ac_md=0-0-Z3B1-ac_d_rm&cv_ct_cx=gpu&dchild=1&keywords=gpu&pd_rd_i=B07646VQ6T&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=lLsWq&pd_rd_wg=604Lv&pf_rd_p=fe2d64f9-a0d4-4c62-b195-55e240bc5b7e&pf_rd_r=JPXAC57CCPGJE13Z85VB&psc=1&qid=1604875671&sr=1-1-12d4272d-8adb-4121-8624-135149aa9081
4,PNY GeForce GT 1030 2GB Graphic Card (VCGGT10302PB-BB),119.99,4.3,https://www.amazon.com/PNY-GeForce-1030-Graphic-Card/dp/B07YQHC12H/ref=sxin_9_ac_d_rm?ac_md=1-1-Z3JhcGhpY3MgY2FyZA%3D%3D-ac_d_rm&cv_ct_cx=gpu&dchild=1&keywords=gpu&pd_rd_i=B07YQHC12H&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=lLsWq&pd_rd_wg=604Lv&pf_rd_p=fe2d64f9-a0d4-4c62-b195-55e240bc5b7e&pf_rd_r=JPXAC57CCPGJE13Z85VB&psc=1&qid=1604875671&sr=1-2-12d4272d-8adb-4121-8624-135149aa9081
5,Gigabyte Radeon RX 580 Gaming 8GB Graphic Cards GV-RX580GAMING-8GD REV2.0,199.99,4.6,https://www.amazon.com/Gigabyte-Radeon-Gaming-Graphic-GV-RX580GAMING-8GD/dp/B0842VMKM5/ref=sxin_9_ac_d_rm?ac_md=3-2-cnggNTgwIDhnYg%3D%3D-ac_d_rm&cv_ct_cx=gpu&dchild=1&keywords=gpu&pd_rd_i=B0842VMKM5&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=lLsWq&pd_rd_wg=604Lv&pf_rd_p=fe2d64f9-a0d4-4c62-b195-55e240bc5b7e&pf_rd_r=JPXAC57CCPGJE13Z85VB&psc=1&qid=1604875671&sr=1-3-12d4272d-8adb-4121-8624-135149aa9081
6,"EVGA GeForce 08G-P4-5671-KR, GTX 1070 Ti SC GAMING ACX 3.0 Black Edition, 8GB GDDR5, EVGA OCX Scanner OC, White LED, DX12OSD Support (PXOC) Graphics Card",619.99,4.8,https://www.amazon.com/EVGA-GeForce-Scanner-Graphics-08G-P4-5671-KR/dp/B076S4RH6K/ref=sxin_9_ac_d_rm?ac_md=4-3-Z3R4IDEwNzA%3D-ac_d_rm&cv_ct_cx=gpu&dchild=1&keywords=gpu&pd_rd_i=B076S4RH6K&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=lLsWq&pd_rd_wg=604Lv&pf_rd_p=fe2d64f9-a0d4-4c62-b195-55e240bc5b7e&pf_rd_r=JPXAC57CCPGJE13Z85VB&psc=1&qid=1604875671&sr=1-4-12d4272d-8adb-4121-8624-135149aa9081
7,ASUS ROG Strix Radeon RX570 O8G Gaming GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O8G-GAMING),214.99,4.4,https://www.amazon.com/ASUS-Radeon-Gaming-Graphics-ROG-STRIX-RX570-O8G-GAMING/dp/B081N2V1KJ/ref=sxin_9_ac_d_rm?ac_md=5-4-cnggNTcw-ac_d_rm&cv_ct_cx=gpu&dchild=1&keywords=gpu&pd_rd_i=B081N2V1KJ&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=lLsWq&pd_rd_wg=604Lv&pf_rd_p=fe2d64f9-a0d4-4c62-b195-55e240bc5b7e&pf_rd_r=JPXAC57CCPGJE13Z85VB&psc=1&qid=1604875671&sr=1-5-12d4272d-8adb-4121-8624-135149aa9081
8,"CloverTale Graphics Card GPU Brace Support, Video Card Sag Holder Bracket, Anodized Aerospace Aluminum (Upgraded Version Black)",12.99,4.3,https://www.amazon.com/CloverTale-Aerospace-Upgraded-Version-Black/dp/B077LGLN4G/ref=sxin_10?ascsubtag=amzn1.osa.074674ad-2a62-41c0-9e17-17df8c80f73c.ATVPDKIKX0DER.en_US&creativeASIN=B077LGLN4G&cv_ct_cx=gpu&cv_ct_id=amzn1.osa.074674ad-2a62-41c0-9e17-17df8c80f73c.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=gpu&linkCode=oas&pd_rd_i=B077LGLN4G&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=mydGu&pd_rd_wg=604Lv&pf_rd_p=a731ca96-f731-4b16-b32d-9bb548e9542b&pf_rd_r=JPXAC57CCPGJE13Z85VB&qid=1604875671&sr=1-1-d9dc7690-f7e1-44eb-ad06-aebbef559a37&tag=digitaltren0b-20
9,"upHere Graphics Card GPU Brace Support Video Card Sag Holder/Holster Bracket, Anodized Aerospace Aluminum, Single or Dual Slot Cards (Black),GL05",9.99,4.4,https://www.amazon.com/upHere-Graphics-Anodized-Aerospace-Aluminum/dp/B076GYL25H/ref=sxin_10?ascsubtag=amzn1.osa.074674ad-2a62-41c0-9e17-17df8c80f73c.ATVPDKIKX0DER.en_US&creativeASIN=B076GYL25H&cv_ct_cx=gpu&cv_ct_id=amzn1.osa.074674ad-2a62-41c0-9e17-17df8c80f73c.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=gpu&linkCode=oas&pd_rd_i=B076GYL25H&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=mydGu&pd_rd_wg=604Lv&pf_rd_p=a731ca96-f731-4b16-b32d-9bb548e9542b&pf_rd_r=JPXAC57CCPGJE13Z85VB&qid=1604875671&sr=1-2-d9dc7690-f7e1-44eb-ad06-aebbef559a37&tag=digitaltren0b-20
